bibItem,creatorstatement,listpos,givenName,lastName,fullName,fullName_clusters,fullName_recon_Wikidata,fullName_recon_Wikibase
https://monumenta.wikibase.cloud/entity/Q271,https://monumenta.wikibase.cloud/entity/statement/Q271-4EF23CDE-775E-446D-9453-E042802FDFCD,1,Joseph de Jesús María,Araquistáin,Joseph de Jesús María Araquistáin,Joseph de Jesús María Araquistáin,Joseph de Jesús María Araquistáin,Joseph de Jesús María Araquistáin
https://monumenta.wikibase.cloud/entity/Q377,https://monumenta.wikibase.cloud/entity/statement/Q377-9CD38F03-E41A-4953-BEEB-144450167886,1,O. M. Cap,Arbelaitz,O. M. Cap Arbelaitz,O. M. Cap Arbelaitz,O. M. Cap Arbelaitz,O. M. Cap Arbelaitz
https://monumenta.wikibase.cloud/entity/Q346,https://monumenta.wikibase.cloud/entity/statement/Q346-70BEBBFA-9E1C-4B50-A6A6-7A11B74DB786,1,Francisco Javier,Arraiza,Francisco Javier Arraiza,Francisco Javier Arraiza,Francisco Javier Arraiza,Francisco Javier Arraiza
https://monumenta.wikibase.cloud/entity/Q427,https://monumenta.wikibase.cloud/entity/statement/Q427-B0A16662-89B2-4CCF-9126-44120B89D766,1,Jesús,Arzamendi Sáez de Ibarra,Jesús Arzamendi Sáez de Ibarra,Jesús Arzamendi Sáez de Ibarra,Jesús Arzamendi Sáez de Ibarra,Jesús Arzamendi Sáez de Ibarra
https://monumenta.wikibase.cloud/entity/Q283,https://monumenta.wikibase.cloud/entity/statement/Q283-147BE795-2B68-4D4E-BCA9-376AB6DF0EF4,1,Pablo Pedro,Astarloa,Pablo Pedro Astarloa,Pablo Pedro Astarloa,Pablo Pedro Astarloa,Pablo Pedro Astarloa
https://monumenta.wikibase.cloud/entity/Q272,https://monumenta.wikibase.cloud/entity/statement/Q272-D832B6D0-8A24-401D-8300-F8ECD49247BE,1,Eleuterio,Basozabal,Eleuterio Basozabal,Eleuterio Basozabal,Eleuterio Basozabal,Eleuterio Basozabal
https://monumenta.wikibase.cloud/entity/Q285,https://monumenta.wikibase.cloud/entity/statement/Q285-1F746195-3ADE-4D6A-ADD0-9B01D0C66A3A,1,Erroman,Bera,Erroman Bera,Erroman Bera,Erroman Bera,Erroman Bera
https://monumenta.wikibase.cloud/entity/Q307,https://monumenta.wikibase.cloud/entity/statement/Q307-9D2BF819-50B6-4CE5-8AC0-78CDCC46A763,1,Erroman,Bera,Erroman Bera,Erroman Bera,Erroman Bera,Erroman Bera
https://monumenta.wikibase.cloud/entity/Q361,https://monumenta.wikibase.cloud/entity/statement/Q361-70291466-BAC7-4543-AE8B-61327019E5B6,1,Erroman,Bera,Erroman Bera,Erroman Bera,Erroman Bera,Erroman Bera
https://monumenta.wikibase.cloud/entity/Q376,https://monumenta.wikibase.cloud/entity/statement/Q376-892B7F76-9444-43EF-8A6E-D95C60E24592,1,Román de,Bera,Román de Bera,Román de Bera,Román de Bera,Román de Bera
https://monumenta.wikibase.cloud/entity/Q292,https://monumenta.wikibase.cloud/entity/statement/Q292-4925E6C6-817C-4956-9A69-1BDA2EB8322C,1,J. Augustin,Chaho,J. Augustin Chaho,J. Augustin Chaho,J. Augustin Chaho,J. Augustin Chaho
https://monumenta.wikibase.cloud/entity/Q332,https://monumenta.wikibase.cloud/entity/statement/Q332-94A9DED4-2A71-4842-BC47-A33368960ADC,1,Paul,Chapuy,Paul Chapuy,Paul Chapuy,Paul Chapuy,Paul Chapuy
https://monumenta.wikibase.cloud/entity/Q420,https://monumenta.wikibase.cloud/entity/statement/Q420-49A43E41-3C73-4C85-85CF-29BB691DCBA6,2,Léon-Martin,Cluzeau,Léon-Martin Cluzeau,Léon-Martin Cluzeau,Léon-Martin Cluzeau,Léon-Martin Cluzeau
https://monumenta.wikibase.cloud/entity/Q431,https://monumenta.wikibase.cloud/entity/statement/Q431-47F06DA4-BF7D-4396-B55D-2D51E3AF95FF,1,Elisa,Corino,Elisa Corino,Elisa Corino,Elisa Corino,Elisa Corino
https://monumenta.wikibase.cloud/entity/Q258,https://monumenta.wikibase.cloud/entity/statement/Q258-3A7F66BE-6101-4D2B-B623-7D241A16D5BC,1,Nicolaas G. H.,Deen,Nicolaas G. H. Deen,Nicolaas G. H. Deen,Nicolaas G. H. Deen,Nicolaas G. H. Deen
https://monumenta.wikibase.cloud/entity/Q375,https://monumenta.wikibase.cloud/entity/statement/Q375-0E0E5902-52A7-4E18-B865-C59BB7E994CA,1,Juan María Román,Dornaku Olaechea,Juan María Román Dornaku Olaechea,Juan María Román Dornaku Olaechea,Juan María Román Dornaku Olaechea,Juan María Román Dornaku Olaechea
https://monumenta.wikibase.cloud/entity/Q286,https://monumenta.wikibase.cloud/entity/statement/Q286-C3ABBEF5-5B58-4C41-B489-DD7ADA08B093,1,Jon Gotzon,Etxebarria,Jon Gotzon Etxebarria,Jon Gotzon Etxebarria,Jon Gotzon Etxebarria,Jon Gotzon Etxebarria
