item,claimid,itemLabel,P15_literal,P15_recon,P15_Wikidata
https://monumenta.wikibase.cloud/entity/Q388,https://monumenta.wikibase.cloud/entity/statement/Q388-CDBBCD75-D85D-4A82-8618-B2B5078AE402,Adiciones al vocabulario navarro,Pamplona,Pamplona,Q10282
https://monumenta.wikibase.cloud/entity/Q389,https://monumenta.wikibase.cloud/entity/statement/Q389-C6EF4DA7-8156-4E29-AAFF-E5DC3B6F839C,Apaiz baten iztegia,Donostia,San Sebastián,Q10313
https://monumenta.wikibase.cloud/entity/Q395,https://monumenta.wikibase.cloud/entity/statement/Q395-96510599-B3E6-4D79-B957-09B2772D5985,The Current Situation of the Basque Language,Reno,Reno,Q49225
https://monumenta.wikibase.cloud/entity/Q396,https://monumenta.wikibase.cloud/entity/statement/Q396-9A9806EF-E8BF-4E1D-9A71-C537B71B75E5,Steps towards the Modernization of Basque: Challenges of a Standardized Lexicon,Tübingen,Tübingen,Q3806
https://monumenta.wikibase.cloud/entity/Q401,https://monumenta.wikibase.cloud/entity/statement/Q401-C74607B4-B542-420C-BE64-C22AF7B9A592,Neologisms and Lexicography in the Basque Language,Budapest,Budapest,Q1781
https://monumenta.wikibase.cloud/entity/Q402,https://monumenta.wikibase.cloud/entity/statement/Q402-6067A666-33B2-43FC-BBC1-AED2259287DA,Morphosyntactic Structure of Terms in Basque for Automatic Terminology Extraction,Stuttgart,Stuttgart,Q1022
https://monumenta.wikibase.cloud/entity/Q404,https://monumenta.wikibase.cloud/entity/statement/Q404-25EB0717-36D9-4AA5-85F4-930E07E9E276,"Lexicografía vasca, el diccionario general vasco",A Coruña,A Coruña,Q8757
https://monumenta.wikibase.cloud/entity/Q407,https://monumenta.wikibase.cloud/entity/statement/Q407-4099D0B0-5DE8-44CD-9E93-A765968A685F,Larramendiren hitz eraketa,Donostia,San Sebastián,Q10313
https://monumenta.wikibase.cloud/entity/Q409,https://monumenta.wikibase.cloud/entity/statement/Q409-8749E9D6-122D-409A-8E68-7190583B201C,Las partículas discursivas en el Vocabulario Navarro de José María Iribarren,Pamplona,Pamplona,Q10282
https://monumenta.wikibase.cloud/entity/Q415,https://monumenta.wikibase.cloud/entity/statement/Q415-A41378B7-E3D6-4246-8F4C-B331FC4FAD8F,Extraction of Semantic Relations from a Basque Monolingual Dictionary Using Constraint Grammar,Stuttgart,Stuttgart,Q1022
https://monumenta.wikibase.cloud/entity/Q417,https://monumenta.wikibase.cloud/entity/statement/Q417-F79D5E26-6B29-4A1B-8CD3-618E5B035CBF,"La guerre des alphabets: règles d'orthographe euskarienne, adoptées pour la publication du Dictionnaire basque, français, espagnol et latin / par Augustin Chaho",Bayonne,Bayonne,Q134674
https://monumenta.wikibase.cloud/entity/Q420,https://monumenta.wikibase.cloud/entity/statement/Q420-9AA1137F-B94F-489C-ADBD-455B4DB620B1,Examen critique du manuel de la langue basque,Bayonne,Bayonne,Q134674
https://monumenta.wikibase.cloud/entity/Q420,https://monumenta.wikibase.cloud/entity/statement/Q420-9AA1137F-B94F-489C-ADBD-455B4DB620B1,Examen critique du manuel de la langue basque,Mauléon,Mauléon,
https://monumenta.wikibase.cloud/entity/Q421,https://monumenta.wikibase.cloud/entity/statement/Q421-C7C508C9-ED90-435D-9809-E671799F5B25,Evaluation of an Automatic Process for Specialized Web Corpora Collection and Term Extraction for Basque,Louvain-la-Neuve,Louvain-la-Neuve,Q665868
https://monumenta.wikibase.cloud/entity/Q422,https://monumenta.wikibase.cloud/entity/statement/Q422-63172BBC-365E-4529-8702-F4CF39636B51,Euskarazko lexikogintza juridiko-administratiboa: Larramendiren eragina,Bilbao,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q423,https://monumenta.wikibase.cloud/entity/statement/Q423-51954B40-EDEA-48E7-8BBF-C51FC07C3814,Euskararen herri hizkeren atlasa,Bilbo,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q424,https://monumenta.wikibase.cloud/entity/statement/Q424-3F11958D-40FF-46DC-8CA0-F2670D7D2C04,"Euskal Hiztegia-ren azterketa eta egituratzea ezagutza lexikalaren eskuratze automatikoari begira. Aditz-adibideen analisia Murriztapen-Gramatika baliatuz, azpikategorizazioaren bidean",Vitoria-Gasteiz,Vitoria-Gasteiz,Q14318
https://monumenta.wikibase.cloud/entity/Q425,https://monumenta.wikibase.cloud/entity/statement/Q425-EEB73C50-FA72-4A07-BB6F-E9BDDBF3A352,EUSLEM: A Lemmatiser/Tagger for Basque,Göteborg,Gothenburg,Q25287
https://monumenta.wikibase.cloud/entity/Q426,https://monumenta.wikibase.cloud/entity/statement/Q426-2DD432AD-6898-48E9-9DAF-9F6743360CB8,Euskara ibarguen-cachopin kronikan (XVI. mendea),Bilbo,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q431,https://monumenta.wikibase.cloud/entity/statement/Q431-A475D021-0E64-456D-94BD-400239A43EBA,"Elexbi, a Basic Tool for Bilingual Term Extraction from Spanish-Basque Parallel Corpora",Torino,Turin,Q495
https://monumenta.wikibase.cloud/entity/Q437,https://monumenta.wikibase.cloud/entity/statement/Q437-E8E4B1CD-7907-4831-A125-5D1B8AFE2E55,Estudio sobre las fuentes del Diccionario de Azkue,Bilbao,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q441,https://monumenta.wikibase.cloud/entity/statement/Q441-E177FDA4-427A-4EC9-9C99-1FF397757086,Basque Compound Nouns and Generative Morphology: Some data,Amsterdam,Amsterdam,Q727
