bibItem,creatorstatement,listpos,fullName,fullName_recon_Wikidata,Wikidata_Qid,givenName,lastName,creatoritem
https://monumenta.wikibase.cloud/entity/Q402,https://monumenta.wikibase.cloud/entity/statement/Q402-097AE22F-34A0-4DBF-BC4A-08B5740DBBC0,3,Iñaki Alegria,Iñaki Alegria,Q16517758,Iñaki,Alegria,t9035
https://monumenta.wikibase.cloud/entity/Q402,https://monumenta.wikibase.cloud/entity/statement/Q402-82D94711-8285-4837-8579-D2DC1CC5654B,1,Ruben Urizar,Ruben Urizar Enbeita,Q107851251,Ruben,Urizar,t9048
https://monumenta.wikibase.cloud/entity/Q402,https://monumenta.wikibase.cloud/entity/statement/Q402-DE0C4748-099E-494F-AF97-E236BC0142DD,2,Nerea Ezeiza,Nerea Ezeiza,Q113578318,Nerea,Ezeiza,t9042
https://monumenta.wikibase.cloud/entity/Q403,https://monumenta.wikibase.cloud/entity/statement/Q403-F672D120-46E1-457F-89D6-4EE98A1A093B,1,Arantxa Hirigoyen,Arantxa Hirigoyen,,Arantxa,Hirigoyen,t9158
https://monumenta.wikibase.cloud/entity/Q404,https://monumenta.wikibase.cloud/entity/statement/Q404-79E4BE4D-23E3-40D7-801B-F9C36A010AAA,1,Ibon Sarasola,Ibon Sarasola,Q2876484,Ibon,Sarasola,t9154
https://monumenta.wikibase.cloud/entity/Q405,https://monumenta.wikibase.cloud/entity/statement/Q405-48ACFF5C-FE87-482F-BDF6-379C5982E598,1,Victor Pierre Dubarat,Victor Dubarat,Q55772720,Victor Pierre,Dubarat,t9153
https://monumenta.wikibase.cloud/entity/Q406,https://monumenta.wikibase.cloud/entity/statement/Q406-91732349-E260-46F0-9BB6-EB4B05AEA302,1,Patxi Altuna,Patxi Altuna,Q3370189,Patxi,Altuna,t9226
https://monumenta.wikibase.cloud/entity/Q407,https://monumenta.wikibase.cloud/entity/statement/Q407-C949F53C-4A5B-4CDD-B681-0CF722DC9563,1,Miren Azkarate,Miren Azkarate Villar,Q3316026,Miren,Azkarate,t9224
https://monumenta.wikibase.cloud/entity/Q409,https://monumenta.wikibase.cloud/entity/statement/Q409-61C805BC-A093-4F24-96F7-93A692F55458,1,Carmen Llamas-Sáiz,Carmen Llamas Saíz,Q107296591,Carmen,Llamas-Sáiz,t9338
https://monumenta.wikibase.cloud/entity/Q410,https://monumenta.wikibase.cloud/entity/statement/Q410-195F0489-B1DB-4DB8-A3E4-CC3B6076D1F9,1,Mikel Alonso,Mikel Alonso,,Mikel,Alonso,t9341
https://monumenta.wikibase.cloud/entity/Q410,https://monumenta.wikibase.cloud/entity/statement/Q410-FE7A6436-15CF-47EB-9284-236A3E46063D,2,David Lindemann,David Lindemann,Q57694630,David,Lindemann,t9337
https://monumenta.wikibase.cloud/entity/Q411,https://monumenta.wikibase.cloud/entity/statement/Q411-41C858E2-4123-471F-934B-48B1CA2F6381,1,David Lindemann,David Lindemann,Q57694630,David,Lindemann,t9438
https://monumenta.wikibase.cloud/entity/Q412,https://monumenta.wikibase.cloud/entity/statement/Q412-C983E661-CF0B-4132-9421-EC70DF931A9B,1,Blanca Urgell,Blanca Urgell,Q8248653,Blanca,Urgell,t9437
https://monumenta.wikibase.cloud/entity/Q413,https://monumenta.wikibase.cloud/entity/statement/Q413-4D65D522-0C4C-4E26-AF16-207B9EAA7D6C,1,Blanca Urgell,Blanca Urgell,Q8248653,Blanca,Urgell,t9441
https://monumenta.wikibase.cloud/entity/Q414,https://monumenta.wikibase.cloud/entity/statement/Q414-06CCCC6B-B6C4-4F05-8E11-3AC5D6E7AC34,2,Jon Ortiz de Urbina,Jon Mirena Ortiz de Urbina Arruabarrena,Q20582522,Jon,Ortiz de Urbina,t10244
https://monumenta.wikibase.cloud/entity/Q414,https://monumenta.wikibase.cloud/entity/statement/Q414-AC04BD18-42D0-4844-8903-52677372C73B,3,Mario Saltarelli,Mario Saltarelli,,Mario,Saltarelli,t10267
https://monumenta.wikibase.cloud/entity/Q414,https://monumenta.wikibase.cloud/entity/statement/Q414-FDC82C0F-732A-4704-BC69-921ABCE926C7,1,Miren Azkarate,Miren Azkarate Villar,Q3316026,Miren,Azkarate,t10288
https://monumenta.wikibase.cloud/entity/Q415,https://monumenta.wikibase.cloud/entity/statement/Q415-0602E940-1151-480B-BF71-BB1E6561D701,8,Kepa Sarasola,Kepa Sarasola Gabiola,Q50177430,Kepa,Sarasola,t10186
https://monumenta.wikibase.cloud/entity/Q415,https://monumenta.wikibase.cloud/entity/statement/Q415-3CEA85FC-A8B7-4C3E-AA33-BF2EC634E84E,9,Ruben Urizar,Ruben Urizar Enbeita,Q107851251,Ruben,Urizar,t10243
https://monumenta.wikibase.cloud/entity/Q415,https://monumenta.wikibase.cloud/entity/statement/Q415-437F5728-556A-4C8A-8D36-AD419F908A53,4,Xabier Artola,Xabier Artola Zubillaga,Q12269005,Xabier,Artola,t10257
https://monumenta.wikibase.cloud/entity/Q415,https://monumenta.wikibase.cloud/entity/statement/Q415-5569D24E-2CDE-46AC-8D67-74D5B96F9672,2,Olatz Ansa,Olatz Ansa,,Olatz,Ansa,t10234
https://monumenta.wikibase.cloud/entity/Q415,https://monumenta.wikibase.cloud/entity/statement/Q415-63133D71-3E5F-484C-A292-C3CE0ADD1730,6,Mikel Lersundi,Mikel Lersundi,Q105669165,Mikel,Lersundi,t10268
https://monumenta.wikibase.cloud/entity/Q415,https://monumenta.wikibase.cloud/entity/statement/Q415-B448D6F1-4A46-4CCB-823C-18D7583D38EB,7,David Martínez,David Martínez,,David,Martínez,t10251
https://monumenta.wikibase.cloud/entity/Q415,https://monumenta.wikibase.cloud/entity/statement/Q415-CAF5CF92-5C4A-4D20-8F9D-100A46126314,1,Eneko Agirre,Eneko Agirre,Q57400796,Eneko,Agirre,t10207
https://monumenta.wikibase.cloud/entity/Q415,https://monumenta.wikibase.cloud/entity/statement/Q415-F0A231C1-03FE-4F30-9980-7547D810433E,3,Xabier Arregi,Xabier Arregi Iparragirre,Q57083968,Xabier,Arregi,t10212
https://monumenta.wikibase.cloud/entity/Q415,https://monumenta.wikibase.cloud/entity/statement/Q415-F591D7ED-CCF4-4148-A669-E03414C38801,5,Arantza Dáz de Ilarraza,Arantza Diaz de Ilarraza Sanchez,Q12253843,Arantza,Dáz de Ilarraza,t10305
https://monumenta.wikibase.cloud/entity/Q416,https://monumenta.wikibase.cloud/entity/statement/Q416-0D69DBC1-04D2-4591-BCEB-6452DE83F98B,1,Nerea Fernández de Gobeo Díaz de Durana,Nerea Fernández de Gobeo Díaz de Durana,,Nerea,Fernández de Gobeo Díaz de Durana,t10294
