item,itemLabel,claimid,P15_literal,P15_recon
https://monumenta.wikibase.cloud/entity/Q791,"Akademiaren sukaldeko lanetan, goxo-goxo",https://monumenta.wikibase.cloud/entity/statement/Q791-E548BA21-0585-43C2-8C78-39B544E08307,Bilbo,Bilbo
https://monumenta.wikibase.cloud/entity/Q792,"Inguma eta Wikidata uztartuz, euskarazko zientziaren ezagutza-graforantz",https://monumenta.wikibase.cloud/entity/statement/Q792-DB742CF9-0D53-4CE8-9FA4-A04679995027,Bilbo,Bilbo
https://monumenta.wikibase.cloud/entity/Q793,Itxaropenako artxibategiko altxorrak: Gabriel Arestiren bi liburuen makinizkribuak,https://monumenta.wikibase.cloud/entity/statement/Q793-CE819212-E3B0-4071-87E2-66AA04127A92,Bilbo,Bilbo
https://monumenta.wikibase.cloud/entity/Q794,Miren Azkarateri esker onez,https://monumenta.wikibase.cloud/entity/statement/Q794-7C21F618-1E96-485D-8EFA-48549A279CEF,Bilbo,Bilbo
https://monumenta.wikibase.cloud/entity/Q796,Luzaideko euskararen hiztegia,https://monumenta.wikibase.cloud/entity/statement/Q796-3386E071-3F73-41FE-B7F6-C1498D0125F2,"Iruña, Bilbo","Iruña, Bilbo"
https://monumenta.wikibase.cloud/entity/Q797,"Berbategitxoa: Arratiako berbetearen gitxieneko hiztegia : ""Geure berbategie"" proiektua",https://monumenta.wikibase.cloud/entity/statement/Q797-5096A8AA-27E8-4B4E-B610-607C1B2A2689,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q798,Itzarbeibarko euskara ikasliburua eta hiztegia,https://monumenta.wikibase.cloud/entity/statement/Q798-8E27445C-1A48-4E07-B2B6-00F58EDC147C,Gares,Gares
https://monumenta.wikibase.cloud/entity/Q799,Geriadur brezhoneg-euskareg: euskara-bretoiera hiztegia,https://monumenta.wikibase.cloud/entity/statement/Q799-285AB7CC-7365-4E0F-BF1F-465B2FE8F3D9,Kemper/Quimper,Kemper/Quimper
https://monumenta.wikibase.cloud/entity/Q800,Herri-ogasuna hiztegia,https://monumenta.wikibase.cloud/entity/statement/Q800-8F07F1E6-5249-4101-9602-A483512ABAB3,Vitoria-Gasteiz,Vitoria-Gasteiz
https://monumenta.wikibase.cloud/entity/Q801,Errugbia hiztegia,https://monumenta.wikibase.cloud/entity/statement/Q801-2C5D68A4-6673-4173-8F99-F5B7DDC01545,Vitoria-Gasteiz,Vitoria-Gasteiz
https://monumenta.wikibase.cloud/entity/Q802,Oinarrizko hiztegia latina-euskara,https://monumenta.wikibase.cloud/entity/statement/Q802-CE595493-BA9F-48D6-908D-9FDCFFAECE3A,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q803,Zirkulazioa hiztegia,https://monumenta.wikibase.cloud/entity/statement/Q803-8C2E75F5-C803-45EE-8DA9-35BDA04CAD86,Vitoria-Gasteiz,Vitoria-Gasteiz
https://monumenta.wikibase.cloud/entity/Q804,Euskaltzaindiaren Hiztegia: Adierak Eta Adibideak,https://monumenta.wikibase.cloud/entity/statement/Q804-3C7A804F-84EE-498B-8046-10DF84CCFAB4,Bilbo,Bilbo
https://monumenta.wikibase.cloud/entity/Q804,Euskaltzaindiaren Hiztegia: Adierak Eta Adibideak,https://monumenta.wikibase.cloud/entity/statement/Q804-3C7A804F-84EE-498B-8046-10DF84CCFAB4,Donostia,Donostia
