item,itemLabel,P15_literal,P15_recon
https://monumenta.wikibase.cloud/entity/Q368,Diccionario Vasco-Español-Francés,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q370,Diccionario vasco-castellano,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q372,Diccionario español y vasco,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q373,Diccionario de bolsillo: vasco-español y español-vasco,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q374,Diccionario castellano-vasco y vasco-castellabi de voces comunes a dos ó más dialectos: extraído del diccionario mayor de R. Ma. de Azcué y con su autorización,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q377,Diccionario castellano-vasco y vasco-castellano de voces comunes a dos o más dialectos,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q387,"Deun-ixendegi euskotarra edo deunen ixenal euskeratuta ta ixentzat ezarten diran jayetako ixenan euskerazko ikurrpenak Arana-Goiri'tar Sabin'ak asmaubak egutegi bizkatara'rentzat eleizalde'tar koldobika'k egindako itxaure bategaz = Santoral vasco, ó sea, lista de nombres euskerizados de los santos y traducción de los nombres de festividad aplicables como nombres propios",Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q422,Euskarazko lexikogintza juridiko-administratiboa: Larramendiren eragina,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q437,Estudio sobre las fuentes del Diccionario de Azkue,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q752,"Diccionario Retana de autoridades de la lengua vasca: con cientos de miles de nuevas voces y acepciones, antiguas y modernas ...",Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q754,"Diccionario ""IKAS"" Euskera-Castellano Castellano-Euskara. Dialectos vizcaíno y guipuzcoano",Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q755,Diccionario castellano-vasco,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q763,Diccionario castellano-vasco,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q797,"Berbategitxoa: Arratiako berbetearen gitxieneko hiztegia : ""Geure berbategie"" proiektua",Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q802,Oinarrizko hiztegia latina-euskara,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q213,"Dictionnaire basque-français, par Silvain Pouvreau, prêtre du diocèse de Bourges",Paris,Paris
https://monumenta.wikibase.cloud/entity/Q220,Anciens proverbes basques et gascons recueillis por Voltoire et reunis au jour par G. B.,Paris,Paris
https://monumenta.wikibase.cloud/entity/Q226,"Notitia utriusque Vasconiae, tum Ibericae, tum Aquitanicae",Paris,Paris
https://monumenta.wikibase.cloud/entity/Q289,Dictionnaire français-basque,Paris,Paris
https://monumenta.wikibase.cloud/entity/Q295,"Dictionnaire basque-français et français-basque: dialectes Labourdin, Bas-Navarrais et Souletin",Paris,Paris
